Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9,Run-10,Run-11,Run-12,Run-13,Run-14,Run-15,Run-16,Run-17,Run-18,Run-19,Run-20,Run-21,Run-22,Run-23,Run-24,Run-25,Run-26,Run-27,Run-28,Run-29
0,2033.079950354195,48.40700667134775,1993.4138269797816,1981.267869183512,2038.954733818212,2028.2868111413347,2180.7917433803536,2134.172252736657,2036.649027012301,2079.5212311661526,1956.3744716552012,2071.37969668024,2026.2754897643908,1993.1486289520549,2035.0196189150602,2039.615789954154,2044.5702262338755,2093.709923693731,2000.0067870285993,2056.4706679453466,1980.1376241574783,2083.1359410813247,1990.8380443299543,1989.9297357454557,1995.2984600452635,2040.3151389139675,2043.8107160572097,1995.405298430009,2043.0740467389312,2063.8494338276255,1976.3588001185647,2000.6164749391128
1,39.749817275058604,3.8381841273982853,41.478452889799954,35.94623473988302,44.45046119540218,40.71231458818985,39.87670646156432,42.96354235172675,42.91725144749126,43.79936721220352,43.879175940708905,33.837019474394104,34.483091046186566,36.327512350489286,40.72527421205927,37.11172899137545,36.700082383211814,47.665747316885685,36.28311969405768,44.6951097065662,33.822715809008514,38.59992740988987,38.237208590223645,43.20576636748559,38.42896631387028,45.217947543892535,42.54427198512259,36.327171174536915,40.4247648008493,41.67553678706856,36.9810783916066,33.17697107600797
2,8.221647254069874,0.876792700725871,7.9424318927217445,7.907417328780473,8.606009994962434,7.038372161303809,8.1508776618431,7.981545294566059,8.72872233890889,9.463538404996765,8.058602287074262,7.766437258938286,6.983704874198936,9.373539989091784,9.068625743223947,7.6231497081782305,7.73103559926375,11.106128433217991,8.57149071654781,6.519360716625523,7.194494449200905,8.443452999771909,8.663231993750088,8.520093065763625,9.29888599053599,7.853309574227986,7.9700481248733945,7.806491817044555,7.885747178997237,8.79479089009576,7.861051063345191,7.7368300700457775
3,3.790293471545527,0.6306130351071241,3.852033906949843,3.871879380040115,4.2344047068362585,2.8967571169986552,4.1021597098779345,3.492064963785142,4.043769049009314,4.32026683155767,3.1403963370559858,2.830051109282725,3.5765585463930716,4.484310364082845,2.899724780057872,3.4067082155948523,3.9303163546188977,5.550192140935259,3.9687681399026187,2.863094561683665,4.0982918815255855,3.984217827718618,4.159947624632595,2.955904789984194,4.451465224278686,2.8052464588529276,3.801992464257828,3.6374882479619566,4.471944737720666,4.047395421722101,4.4697300196724585,3.361723233375474
4,2.259671324538103,0.7773210939410917,2.022444415907547,2.4234965813289233,2.34679804703499,1.8154558683229243,2.0831696516152025,1.9772315923560946,2.6416064817168765,2.0293065484822406,2.0873891059313316,1.54601290475033,1.6398806360860345,2.071630750320273,1.530150151203473,1.8189139001307524,1.5315090739291635,2.6139709861546714,2.1496235145048264,1.7378091131224627,4.098291881525582,2.2405043607012107,2.6567333673462135,1.5088726105435584,2.676324440156707,1.8867918928844338,2.2536976603006718,1.8156179649094386,4.471944737720753,1.5665606009632531,4.469730019672538,2.078670876520639
5,1.857251741597128,0.5393277087827606,2.0224444159075396,2.4234965813289375,2.346798047034982,1.8154558683230155,1.2904412683422086,1.9772315923560788,2.6416064817168983,1.2853789740278445,2.087389105931345,1.5460129047502118,1.141892829609072,1.2824114531025226,1.5301501512034605,1.818913900130754,1.0324585335566183,1.4754173226034162,2.1496235145048774,1.7378091131224886,2.217151964150067,2.240504360701191,2.6567333673462135,0.964894420397105,2.6763244401566717,1.88679189288445,2.253697660300672,0.9983580887704719,2.684937978080205,1.1002612731667203,2.3542938678871415,2.078670876520642
6,1.4089741793107613,0.40595267455398903,1.197654148618058,1.5732547341436538,1.2904570206289019,1.1481417005828243,1.2904412683422568,1.2476797267647757,1.9726131415992623,1.2853789740278374,1.3278415621491062,0.9684564000054543,1.1418928296090993,1.2824114531024986,1.048457239118632,1.1824010890216308,1.032458533556659,1.475417322603424,1.4661864783903653,1.1647730543896229,2.2171519641501316,1.543887926750757,1.5513998456244578,0.964894420397135,1.4538379273237496,1.234336782084763,1.5404205654737841,0.9983580887705009,2.684937978080263,1.1002612731667338,2.354293867887035,1.5295280629594474
7,1.2070345390836106,0.3153975507328247,1.1976541486180394,1.5732547341436667,1.2904570206288617,1.1481417005828216,0.8777295504674514,1.2476797267647672,1.9726131415992003,0.8985442972445473,1.3278415621491304,0.9684564000054685,0.8643234973506597,0.932759631793576,1.048457239118621,1.182401089021639,0.7372211132162767,1.0744858498268925,1.4661864783903806,1.1647730543895993,1.3518988540270578,1.5438879267507488,1.5513998456244797,0.6288650618291459,1.4538379273237365,1.2343367820847277,1.54042056547376,0.7313542253877601,1.5029196626075734,0.73605518355254,1.433551839575732,1.5295280629594583
8,0.9103281323269847,0.21252224466264433,0.7961819255142535,1.0519952137618573,0.8357548111632085,0.7818498710891907,0.8777295504674567,0.8568694962518804,1.1535748820747358,0.8985442972445303,0.8441643958535102,0.6087840913943426,0.8643234973506372,0.9327596317935394,0.7115261387935677,0.7170223823013608,0.7372211132162544,1.0744858498269103,0.9236572965429419,0.7844858162868941,1.351898854027027,0.9402141652261586,0.9375041711656339,0.6288650618291216,0.9297436902927463,0.800461395095843,1.011189123238485,0.7313542253877974,1.502919662607546,0.7360551835525602,1.4335518395757567,0.8551563368837962
9,0.7892677549402539,0.17265268038891857,0.7961819255142468,1.0519952137618906,0.835754811163216,0.7818498710891536,0.6341158288236413,0.8568694962518644,1.1535748820747485,0.6246652185917907,0.8441643958534549,0.6087840913943219,0.6239624116914612,0.5943307288137057,0.7115261387935702,0.7170223823013552,0.5239506486950738,0.7481470939866737,0.9236572965429457,0.7844858162868595,0.9249595425717069,0.9402141652261314,0.937504171165656,0.4770090670094278,0.9297436902927873,0.8004613950958158,1.0111891232384265,0.5138927712922798,0.9479393246325739,0.5438220334340443,0.9811027757350232,0.8551563368837738
