Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9,Run-10,Run-11,Run-12,Run-13,Run-14,Run-15,Run-16,Run-17,Run-18,Run-19,Run-20,Run-21,Run-22,Run-23,Run-24,Run-25,Run-26,Run-27,Run-28,Run-29
0,0.7020328973691186,0.021578793869309113,0.6749103644188612,0.6905352996045894,0.7140525190768533,0.704360703049226,0.6706385017280173,0.7071909218874348,0.7028826360068942,0.709659073076643,0.7098387140752468,0.7152733743122276,0.6975499982080138,0.724309326185988,0.6668463091297724,0.6860604929596223,0.721509528696607,0.6916646586316233,0.6999078510775544,0.6897644525488393,0.7213258625614362,0.6776422359918248,0.7329604354943041,0.7154292417842593,0.6698350543230773,0.6808457975195265,0.7553482640477834,0.738243862148545,0.6887024030740708,0.724137417898012,0.701694377916768,0.6778672436399328
1,1.0931319296671238,0.011212389377986064,1.1019981851164729,1.0832132753987092,1.0972255921185943,1.0791830243290523,1.0970464894433598,1.0960364957427282,1.0740162941035858,1.1031518481152085,1.1001018134700078,1.0851317892311514,1.1064352669722708,1.1288914916855382,1.0869112199255282,1.0999618175191355,1.1019963702299564,1.1030752467533664,1.0914902656460113,1.093149120660123,1.0909738768641528,1.08677688602583,1.0910687421056477,1.0868261130466088,1.08048091144638,1.088301428833023,1.102315744240279,1.0968641666131682,1.099519895227003,1.076549580836851,1.0913752791776072,1.0738896591363567
2,1.1168999506473012,0.04250333607364932,1.0694741698610584,1.0954629158488205,1.0401802728373577,1.1226642418817836,1.0723339032223127,1.0813764376941084,1.1712894603811643,1.0832723572583212,1.1266072962660947,1.0962549885861408,1.2330758289740333,1.154129975349397,1.1450956291943482,1.0921423899840168,1.1287050101775926,1.207031068365682,1.1474489095380236,1.06201647821491,1.081480466767662,1.1770658435278802,1.1029052543169788,1.0855408790091694,1.1469782038033676,1.0892639716799597,1.1174215856157423,1.1271539380226645,1.1429221320807468,1.1045537560481153,1.0950757964634226,1.1080753584481515
3,1.3728492561315517,0.11176845085135582,1.276481100525973,1.4407275939607738,1.257581408895663,1.5749234902051588,1.1957575004991603,1.2916516558267557,1.2872047234220358,1.3362002095494523,1.3361796286427958,1.3946436820923112,1.4686646996506725,1.431294518958275,1.3937715020762906,1.2523701529499973,1.4456707785661302,1.526009174284349,1.3180709389103458,1.4964327582621277,1.3491982804614007,1.2507497751348986,1.4079261344260927,1.432242647039949,1.3792737219275948,1.705513119269389,1.3053735097664576,1.348248864268018,1.2859918351218254,1.2531396570215148,1.258627824259419,1.4855567979717235
4,1.532030156991757,0.14517919295757473,1.4479637426399874,1.353779524147119,1.3660614920273537,1.7319696879564612,1.6089549403261736,1.385115157667405,1.3939454795651087,1.4166689803902675,1.5424123962157463,1.7504487995939781,1.7084937810832086,1.6097922226175647,1.6653396050055376,1.3563347669362458,1.6347571685115807,1.71346170076836,1.518625694501446,1.6760477320172,1.3491982804614007,1.5432533816583716,1.3702539910542135,1.6262764217684522,1.5084813555360903,1.6772107798365712,1.6414578885856312,1.512883339851424,1.2859918351218254,1.6714589435579927,1.258627824259419,1.6356377960905648
5,1.5802378688942782,0.14662927531409517,1.4479637426399874,1.353779524147119,1.3660614920273537,1.7319696879564612,1.7054453963701097,1.385115157667405,1.3939454795651087,1.558645245076634,1.5424123962157463,1.7504487995939781,1.782811263145934,1.6586473404554691,1.6653396050055376,1.3563347669362458,1.6731165530231298,1.8662432853194677,1.518625694501446,1.6760477320172,1.49186996752398,1.5432533816583716,1.3702539910542135,1.7317271725072632,1.5084813555360903,1.6772107798365712,1.6414578885856312,1.7042253372133631,1.5345927798605077,1.747582329963312,1.3878901253341347,1.6356377960905648
6,1.6159678229006535,0.12951059937210455,1.5085940474494788,1.4203253148486792,1.4284645602884238,1.7493998971075766,1.7054453963701097,1.4534782420112107,1.4580589837177371,1.558645245076634,1.628272397358624,1.7899650834583336,1.782811263145934,1.6586473404554691,1.6608142581276206,1.513295741089626,1.6731165530231298,1.8662432853194677,1.5817000347727121,1.7190040721301387,1.49186996752398,1.594352219555014,1.4281792604571737,1.7317271725072632,1.5479376602434607,1.7327250214618592,1.7490157231997663,1.7042253372133631,1.5345927798605077,1.747582329963312,1.3878901253341347,1.6726553739488597
7,1.626279573174084,0.12439781566967147,1.5085940474494788,1.4203253148486792,1.4284645602884238,1.7493998971075766,1.6880139217435386,1.4534782420112107,1.4580589837177371,1.5917776226596478,1.628272397358624,1.7899650834583336,1.7912897588050904,1.668687807829853,1.6608142581276206,1.513295741089626,1.7117289505058917,1.8892061825009991,1.5817000347727121,1.7190040721301387,1.5528782952955456,1.594352219555014,1.4281792604571737,1.734450633486004,1.5479376602434607,1.7327250214618592,1.7490157231997663,1.7499714283381889,1.5813968508884795,1.7026555729213115,1.4900922790216717,1.6726553739488597
8,1.6466972336635297,0.10400138129633152,1.5665117299273565,1.5116318996369453,1.4638001912829497,1.7474266794346474,1.6880139217435386,1.5383884424942873,1.5806299377147075,1.5917776226596478,1.6431725411532407,1.7932582078440344,1.7912897588050904,1.668687807829853,1.6874347394788338,1.5351739315139505,1.7117289505058917,1.8892061825009991,1.635779630634885,1.718574991090002,1.5528782952955456,1.6284655354044189,1.478793765201896,1.734450633486004,1.5740949780747027,1.7603269582665602,1.6987733810017158,1.7499714283381889,1.5813968508884795,1.7026555729213115,1.4900922790216717,1.6865301657545289
9,1.6611131752262565,0.10733818405586507,1.5665117299273565,1.5116318996369453,1.4638001912829497,1.7474266794346474,1.71895782379906,1.5383884424942873,1.5806299377147075,1.6357151341232983,1.6431725411532407,1.7932582078440344,1.8066665436654323,1.7292495482144852,1.6874347394788338,1.5351739315139505,1.7899094949186678,1.9167670698339954,1.635779630634885,1.718574991090002,1.58344908348832,1.6284655354044189,1.478793765201896,1.770797560422986,1.5740949780747027,1.7603269582665602,1.6987733810017158,1.7543762424292002,1.622072439812723,1.7063118120671843,1.5503547981026795,1.6865301657545289
10,1.6795139462675064,0.10509981427012247,1.5994986714592796,1.5055759695212991,1.4764809514517956,1.7764413865928705,1.71895782379906,1.5817446064393585,1.6000387495307733,1.6357151341232983,1.7002208680050954,1.8328818838103016,1.8066665436654323,1.7292495482144852,1.70371094966253,1.6471490521504117,1.7899094949186678,1.9167670698339954,1.6472398125348964,1.7433757483686643,1.58344908348832,1.6214549022405773,1.5077453365870512,1.770797560422986,1.5868509696880797,1.794858211670214,1.7653090381006944,1.7543762424292002,1.622072439812723,1.7063118120671843,1.5503547981026795,1.7102137293332667
11,1.6877156856795135,0.10667769672239812,1.5994986714592796,1.5055759695212991,1.4764809514517956,1.7764413865928705,1.737036556897983,1.5817446064393585,1.6000387495307733,1.686119509406139,1.7002208680050954,1.8328818838103016,1.8086898573276735,1.7782901900421089,1.70371094966253,1.6471490521504117,1.8314267662126158,1.9104530876208399,1.6472398125348964,1.7433757483686643,1.6247310546672022,1.6214549022405773,1.5077453365870512,1.7873664985111473,1.5868509696880797,1.794858211670214,1.7653090381006944,1.775950449759227,1.6335161462318029,1.695818091659598,1.5612815249018992,1.7102137293332667
12,1.7067003673482735,0.09255443133602438,1.6358407624215752,1.560640893991952,1.5611777605384982,1.7894107968825939,1.737036556897983,1.6463167981892186,1.6573397358417494,1.686119509406139,1.6921935468497684,1.8471683734841287,1.8086898573276735,1.7782901900421089,1.714408352756134,1.6647158916764144,1.8314267662126158,1.9104530876208399,1.6783679572727785,1.7555964798324242,1.6247310546672022,1.6488432308743002,1.5706937957475993,1.7873664985111473,1.6092619426308448,1.8378639775565546,1.76836195389971,1.775950449759227,1.6335161462318029,1.695818091659598,1.5612815249018992,1.7321290367637163
13,1.7141414919647202,0.09426918297247264,1.6358407624215752,1.560640893991952,1.5611777605384982,1.7894107968825939,1.7481347202089432,1.6463167981892186,1.6573397358417494,1.710948275080226,1.6921935468497684,1.8471683734841287,1.808755373177921,1.8027301517420737,1.714408352756134,1.6647158916764144,1.8651927514334816,1.9165009783456932,1.6783679572727785,1.7555964798324242,1.6102717162019582,1.6488432308743002,1.5706937957475993,1.7966758193953631,1.6092619426308448,1.8378639775565546,1.76836195389971,1.7916238444494983,1.7155101282125964,1.7018739671315266,1.5856957463523702,1.7321290367637163
14,1.7317445764809882,0.08919447943688316,1.6634635553567143,1.6042664990580584,1.5672877846777213,1.8055002076986866,1.7481347202089432,1.692080376341502,1.689260193102294,1.710948275080226,1.730188140058762,1.853752950098799,1.808755373177921,1.8027301517420737,1.7741657194298395,1.693841787180845,1.8651927514334816,1.9165009783456932,1.7029433343479166,1.808287587747038,1.6102717162019582,1.6660132052297782,1.6061976839729284,1.7966758193953631,1.6343365626455277,1.8465576080913368,1.8023318229449317,1.7916238444494983,1.7155101282125964,1.7018739671315266,1.5856957463523702,1.757948804715314
