Run,Iteration,dim-0,dim-1,dim-2,dim-3,dim-4,dim-5,dim-6,dim-7,dim-8,dim-9,dim-10,dim-11,dim-12,dim-13,dim-14,dim-15,dim-16,dim-17,dim-18,dim-19,dim-20,dim-21,dim-22,dim-23,dim-24,dim-25,dim-26,dim-27,dim-28,dim-29,dim-30,dim-31,dim-32,dim-33,dim-34,dim-35,dim-36,dim-37,dim-38,dim-39,dim-40,dim-41,dim-42,dim-43,dim-44,dim-45,dim-46,dim-47,dim-48,dim-49,dim-50,dim-51,dim-52,dim-53,dim-54,dim-55,dim-56,dim-57,dim-58,dim-59,dim-60,dim-61,dim-62,dim-63,dim-64,dim-65,dim-66,dim-67,dim-68,dim-69,dim-70,dim-71,dim-72,dim-73,dim-74,dim-75,dim-76,dim-77,dim-78,dim-79,dim-80,dim-81,dim-82,dim-83,dim-84,dim-85,dim-86,dim-87,dim-88,dim-89,dim-90,dim-91,dim-92,dim-93,dim-94,dim-95,dim-96,dim-97,dim-98,dim-99,dim-100,dim-101,dim-102,dim-103,dim-104,dim-105,dim-106,dim-107,dim-108,dim-109,dim-110,dim-111,dim-112,dim-113,dim-114,dim-115,dim-116,dim-117,dim-118,dim-119,dim-120,dim-121,dim-122,dim-123,dim-124,dim-125,dim-126,dim-127,dim-128,dim-129,dim-130,dim-131,dim-132,dim-133,dim-134,dim-135,dim-136,dim-137,dim-138,dim-139,dim-140,dim-141,dim-142,dim-143
0,0,1403.9628057912503,1400.8524587159177,1403.9049042552745,1393.7271458251546,1397.6053667204567,1402.5468533162052,1402.6277619192238,1397.3029932215827,1384.6753134471273,1389.107601520654,1378.19734809653,1380.2173551910255,1386.7293262787948,1390.7167235294294,1378.6803555070655,1377.162174189238,1381.6128872884615,1373.6869227504387,1369.1770348054215,1379.7496959237103,1375.8268524313403,1373.1227223406668,1370.5227490600814,1372.484101289622,1369.5203923014162,1366.423238077001,1373.5413457204252,1376.3856905101977,1381.51876266005,1377.619978092675,1388.3023196802985,1394.5361986741282,1397.1142886445523,1365.5023119310395,1391.8248517864188,1359.5387278570734,1366.529532954825,1369.6558985359218,1366.0447696298113,1396.6934615676416,1389.4223481477657,1398.826756097702,1392.8878970340552,1388.612690813133,1412.8087935988533,1423.4444070994048,1434.1144397936832,1427.8796531537173,1422.9535676622681,1406.3363608524178,1369.5994805615635,1412.3544772850485,1423.1362900171882,1409.5151349606479,1378.2764696716022,1374.2417154660252,1395.9674349447166,1396.1409830893667,1402.185234708143,1397.686574923501,1395.13648020064,1392.07418085352,1402.6389229653698,1399.937333581987,1386.1775154346628,1390.0954652365413,1386.9451484846854,1382.7416695912802,1383.4437082554641,1387.7493928330189,1372.947776873673,1366.4196007905039,1371.1602116146819,1366.7476995415686,1368.3653605867637,1372.5800636600668,1375.1332522429414,1376.8025297132017,1373.4907893459153,1361.4550206072493,1371.9326795404356,1374.7312885106987,1374.7808176937235,1375.2908087727076,1376.5597145365518,1376.7436994380016,1394.7948427670826,1392.4451008064993,1396.733360286538,1374.0241574681252,1389.7018864795957,1369.8316254131512,1362.5864880366607,1371.5252024689398,1368.879562481501,1388.677607048896,1390.6715496144163,1394.2716514682584,1386.8392174486703,1392.6323474282142,1409.619202509326,1428.1400463685552,1428.8976514090743,1418.7319593403292,1423.7053333591284,1412.2088520466514,1365.3069634343244,1409.3415178038322,1426.6347732447725,1395.7110714491948,1374.183739438601,1368.905235146781,1400.9542836040516,1399.247782069821,1396.4116304246281,1400.1607955518232,1395.0006691552283,1404.5554960800343,1397.884698390562,1399.4482830739594,1381.0456128541232,1383.407947489875,1381.455788279561,1380.456858178624,1389.7322822559856,1380.9210033905206,1378.4377315761446,1378.2350987286632,1376.4296826585646,1379.9983087520422,1373.7399637828591,1371.2148395457054,1370.3597347682012,1376.6417337074115,1369.485955042221,1372.509718146339,1368.4008298091942,1373.2008346773553,1382.113813716588,1361.8557122377854,1382.3526425160526,1385.7932980094324,1395.4238283563614,1393.833384975596
0,1,1394.5384665250879,1390.6948566856652,1388.4025968222265,1385.662701942603,1384.2355227643827,1393.985757040391,1393.6893623680314,1391.3888746537154,1386.5399500595995,1393.2005210492164,1383.5391918783075,1384.8069605973726,1389.6052211206304,1390.6350349721965,1385.510990899334,1383.301045337197,1386.6420413429523,1385.5595868142657,1384.3156567715691,1383.9056817531728,1380.3859608630185,1387.4160855418497,1391.0563019382917,1385.7280955037381,1385.881631036231,1382.4123501448398,1376.9707694548554,1382.868921463262,1389.3584686781485,1389.7340488763857,1380.7344986630706,1379.2389214153795,1390.9888367532594,1388.7877860338542,1387.4503685831698,1375.608172357121,1391.1027932284178,1385.1143004543237,1389.1341900585387,1387.7479858424044,1381.1704467688332,1389.0710362358973,1393.3085283542052,1380.790747788554,1390.3004911895498,1391.0338274057406,1393.8598625668417,1396.0388032332016,1391.9752422661218,1398.7930334189332,1388.0593443469243,1400.7906625254188,1396.2304896721425,1391.368825531017,1386.2226337927002,1385.6256653957355,1389.2575930109347,1385.3458726859978,1392.3782058653076,1384.9518382480421,1394.2422323911285,1389.6591807292612,1389.3294683323682,1385.0190623528736,1389.0173859585775,1397.3646204469023,1387.7609243551008,1384.7498336887315,1385.3153739592276,1391.7363088178906,1383.933584616595,1377.7557521710178,1381.2779423359593,1383.507489826903,1383.6378012949717,1384.6186164000549,1384.211732363331,1386.5853814606667,1386.4525842364455,1383.0759777809328,1385.0982607145804,1382.7388247098843,1386.9340220637723,1383.648742157731,1387.1816844157408,1387.4814305879588,1380.7570794347141,1385.8217302008595,1393.2467365212487,1382.5944594550435,1386.2474946719717,1392.3060523534693,1378.4198608946904,1382.378112184032,1382.7911544584676,1379.079486601666,1383.7200840501916,1390.3761485636476,1386.0441102553361,1390.8957662219755,1385.6029771212602,1390.5273963021648,1389.7144023415285,1381.244774804561,1397.0773463794283,1392.719408484216,1377.5529406826658,1397.754265182019,1396.0551267265723,1388.1797296272068,1387.0584956663104,1382.7907598427475,1389.053003422316,1386.1641179018848,1384.0848776754278,1392.6986201750276,1381.2643988284638,1387.3111905350156,1386.369462996085,1387.3737853991581,1381.4710329122263,1385.3990462714594,1384.4198282903396,1389.31097675377,1391.2179526247985,1379.162912098431,1384.1950544274857,1386.8353358799486,1386.223951206521,1389.2203898791936,1381.94327212651,1389.013829148776,1383.7958135695312,1389.5774739472236,1385.7688990240663,1382.0664265054718,1386.2085731971038,1386.579913839348,1389.3952579572783,1377.055326250505,1388.8360876056734,1393.9183405034942,1388.92465362467,1386.5306690332586
0,2,1390.9094355145355,1389.632404136171,1385.9140858447768,1383.6041682891432,1387.7299249234113,1385.868311546613,1386.9855386218644,1392.6220616738592,1387.01462257437,1388.485930564362,1387.6013058785866,1385.616841643917,1391.6723276032951,1387.0950239561184,1387.0155212894992,1388.2357946147936,1389.634480272457,1387.5690862484082,1383.9826535350398,1386.3310181051752,1383.0950822381808,1387.4810560210794,1387.0183234576002,1384.5655213862744,1381.5052926445062,1386.9994142907562,1384.823564476396,1386.5378545535968,1387.5798098897565,1383.9529420234949,1380.453115026938,1382.5820835258867,1387.2601739595032,1387.1224579965804,1386.764114480864,1386.6813648177758,1386.036184461089,1389.8652421234174,1387.152887909327,1388.2562328283607,1386.6584086993796,1385.3624451401474,1389.130502976965,1386.1391755937216,1389.5230910533749,1390.3511716424618,1392.1303923613025,1392.7254219789404,1391.5762328983874,1389.3727024556074,1386.7074441520447,1390.2700102529302,1386.9606350757308,1384.5400641551487,1385.824835910512,1386.134458057517,1388.6263119609887,1388.088339763488,1390.336971740934,1388.5912671470608,1391.1098420854585,1384.3216110984963,1388.6718644947398,1385.2967414951452,1386.902469665616,1391.1904980854997,1392.8599302911493,1387.625440005876,1382.8352711357188,1388.0398407270973,1388.5335445143076,1379.4194470450736,1386.4774214176289,1386.1700990925249,1390.06734722376,1380.8816624207727,1383.0716254737583,1387.2305916228556,1387.1196034119996,1382.9884919721635,1386.629709574635,1385.6457510026219,1388.260259438754,1384.854715200046,1387.1811011237176,1386.3096355392433,1387.0764554941538,1393.9076385993665,1390.0086869124568,1385.2759286741734,1385.7113170755968,1388.8977975365844,1384.829382396939,1385.1670744662838,1387.5578532522345,1387.8280839271472,1385.817683066462,1386.3254560029764,1383.8014752483252,1387.721476178112,1392.1028746861282,1391.365809889722,1387.9292444168839,1389.046152480688,1385.9920523224944,1389.5022512122446,1384.9046165371162,1385.5163212994846,1388.5013113226182,1386.0266618693497,1387.2689710259729,1385.672885395031,1388.3151396594844,1387.920574542694,1385.0563500639664,1386.3409438449116,1390.8106019382737,1385.6206482574435,1387.4930091131632,1385.3600592068037,1383.606662044826,1383.8489156238668,1383.8530249662003,1386.6327104242514,1389.1228951832659,1383.3180230471771,1386.9247552487186,1385.9330966916443,1389.598421753317,1385.7703636881029,1387.0135901140309,1388.0832468500191,1386.4712851889167,1385.3822622591156,1384.9654512872812,1390.0994451903819,1387.4416189497292,1391.2841019281595,1387.0576890212214,1381.5496382946405,1384.5521144819468,1388.6410619537096,1392.610273864508,1386.703160303839
0,3,1388.43358780744,1387.348637895764,1386.0284344574666,1384.7816681244965,1387.5931472636473,1386.8839699532796,1384.6830609175167,1389.6141407726905,1387.2172780869578,1389.1202768534465,1387.4920462183593,1388.0882844772466,1388.6033894859422,1385.683540700607,1388.2286728006807,1387.1420270408162,1391.1299251998066,1389.0193748867712,1383.768881493365,1386.6872442148901,1385.222472525552,1388.5079466764782,1386.7670887439144,1386.3097496965645,1385.7173256864835,1388.5406619978266,1387.1823090941919,1388.4393604658862,1385.9671406702164,1386.0180350593255,1384.8663542414668,1383.4853652636664,1386.7758182362102,1385.830386815767,1385.333848308288,1389.0766390507742,1388.5865633191904,1388.3796207557355,1387.9010464685268,1386.247158942633,1385.3758244339115,1387.2983364395463,1388.2049714181007,1386.0818888616448,1388.334688560498,1386.4874742607924,1388.3371655738872,1389.2297091942016,1387.6916302503023,1388.521986544201,1386.5078618940965,1390.7591015714552,1384.8654616061335,1384.953509399192,1384.8088338478844,1387.269766067991,1386.0611195636998,1387.7242248265381,1389.338883944126,1387.2731174277828,1388.874785354801,1385.511855605681,1387.533246386642,1383.3226362879761,1387.244528589205,1386.8254042815697,1392.377955557215,1390.2567985588364,1381.942645735705,1387.6461095570985,1387.7617153496801,1381.956965940455,1388.1719936928155,1388.030553585996,1390.0098885206266,1384.9535459158537,1386.3003666200277,1388.474896069912,1388.7209034922112,1383.3382641397482,1388.9409116559532,1386.0257763671202,1387.4937167935618,1386.353679357819,1386.7127067085048,1385.9362219470056,1385.1543548715642,1388.7509001322553,1387.952438335929,1384.9068534888484,1384.9476006200193,1390.5181964420728,1385.7416209290775,1388.4466701340798,1387.7846367643738,1387.751421170992,1385.7162705049984,1386.1896458619221,1385.5278696489402,1388.0963275992488,1391.9953231688478,1390.7695785701917,1389.2441652286725,1385.3659055567573,1382.7806164794868,1387.2073238544615,1387.2405696703177,1386.076360893417,1388.0992867287855,1384.7636021838096,1386.4969030307889,1386.3057943504616,1388.1732523139337,1386.8209651854017,1383.5736417340058,1386.9771140368441,1390.1980151244363,1385.0342578340487,1389.2405553694034,1386.6682394091765,1387.2513356977074,1385.0880801737533,1383.6502058627423,1386.942941048381,1389.59152598976,1383.9480658427537,1386.2208279847418,1388.097198360115,1390.5387516806813,1387.0236280449362,1386.0391106479497,1386.5175368144153,1385.3797735463536,1389.3919718451043,1385.2686483338757,1387.7148456330033,1389.178425569263,1391.0884141156964,1387.557790158296,1384.0897490700122,1385.9375428614867,1385.9690846208873,1391.2701257685892,1386.3162840712725
0,4,1385.1935055003064,1386.1281337262933,1386.3351146116324,1386.025052272067,1386.7239714374512,1386.5227232010118,1388.974235137517,1388.3045074211552,1387.9638745931954,1389.4486786286714,1388.8645623817206,1388.7735785244454,1389.075996869865,1385.7279119352936,1385.381585785279,1387.1994232572,1390.9187558929282,1387.9372669261222,1386.0846112903914,1388.0908211304004,1386.5406447196015,1387.876243323008,1386.212233645032,1386.1836054110513,1388.040270911772,1386.1401704108468,1387.306553273455,1386.9493904205074,1385.8258867553495,1386.6572602549847,1388.0475301564934,1384.558908603921,1387.5949654827953,1387.3456163435362,1386.3232959200802,1387.3818034219478,1387.6076496270969,1386.1535262046968,1387.154634052017,1387.1603318405557,1387.0479132305197,1388.597490078749,1386.4027571456188,1386.4327822592209,1388.5506154073287,1387.5452779955313,1386.4573084510614,1384.8002150669492,1386.8060649839817,1387.7418332953011,1384.776240168449,1388.2535334965785,1387.8088117288669,1382.3674019512177,1385.9618483843963,1385.823930740964,1386.9008178860577,1385.930864924191,1388.479645523549,1387.776046533637,1388.5401025150536,1385.2577287864035,1388.355247518368,1385.6902255001298,1390.3680507252345,1386.7489666099746,1387.600672760267,1386.8774511142487,1385.035462046736,1387.7140703472617,1387.5008595686502,1383.927198784197,1388.8516237540503,1388.586407438936,1386.8127846558255,1386.4538649585083,1387.087165001866,1386.422393044785,1386.1053712815697,1386.8562585116836,1386.7813205312013,1385.8852156992198,1387.144107484127,1389.9261585437253,1384.925749506351,1386.5778439998762,1386.5657239618083,1388.591306654807,1388.2756702177894,1388.958657370387,1386.1475421259988,1385.6519345810111,1386.9522794541158,1388.3178871075752,1385.8869608126665,1385.6308703980449,1387.1899097107805,1387.4147437988463,1384.6553747236906,1382.7708030616172,1389.0727527759407,1388.7492389675049,1392.4541885632711,1385.5193437068867,1384.7370969605452,1386.5925582234836,1387.7172590395242,1386.949461214299,1387.33357189544,1386.7123872845564,1386.2104788312508,1386.954562543008,1386.5174743461648,1388.9912385846246,1386.9527926354915,1385.9447177920522,1386.6589601029605,1389.2094089343168,1388.035739218671,1385.685628052515,1388.9411503493777,1387.6668400215801,1387.1420641609259,1387.698390812478,1387.7631738168234,1387.1159913252984,1387.4515473361405,1387.0568632809134,1388.189917264929,1388.4451167293298,1389.0430838692134,1385.3036231811,1384.968717803928,1387.1260258586678,1385.7022902761278,1389.0171837019252,1387.6674412241368,1388.1554684252922,1386.7449792662517,1388.5173519220152,1385.603344156055,1388.6871751571518,1386.0125563188633,1385.8768982449535
0,5,1384.5496267469796,1385.1499228942355,1386.9047639871415,1384.9897669795648,1386.2198328194738,1387.6232219119174,1388.518521473679,1387.3715294030326,1387.1021057636335,1387.6982157546734,1387.648874188774,1388.1360525480945,1388.253513433621,1387.0619299946723,1385.5834291595813,1387.5101690339075,1389.5248771758058,1387.6017217053886,1387.8936132764995,1387.2534730404177,1386.3280016045733,1388.8645678956234,1385.3707573529698,1387.1985008500249,1386.9710898012372,1386.7498732498805,1387.4866531265304,1387.0660600642818,1386.233836624264,1385.8425888390211,1387.9554162357638,1387.7679870277952,1387.1886181466766,1386.2842559520477,1385.9949716388505,1388.6862507337041,1386.9159969077198,1385.912978517742,1387.388573837729,1386.0919517422126,1388.4098660718444,1385.583121525255,1389.7848205075145,1385.8089120006177,1386.451316194458,1386.883680448405,1388.3154721337369,1386.2279474397224,1387.7004763221962,1387.413394230807,1385.405968226371,1388.55952503036,1385.3045294179879,1384.8332301096505,1387.1061885126244,1387.1690113854938,1386.7646666119922,1385.824815820505,1386.9784427528193,1386.6574435790305,1386.6558868370828,1387.187063181089,1386.640844675636,1387.323297540159,1388.8029109860072,1386.8258567909845,1385.3292798985087,1387.5574327566583,1385.5904513357732,1387.2420705433258,1386.48582439227,1385.3190500640524,1387.798078374882,1386.6578514894386,1387.6327769820518,1389.2297909677998,1386.4402349824218,1387.1393483788315,1387.136623907811,1387.8933175768627,1387.9788840755978,1388.1209423823939,1388.121322410381,1389.0625037036184,1385.5936289434176,1386.9214541842969,1387.6767469135386,1386.2023073553603,1387.9172446394825,1386.5382403398874,1388.1022975039912,1386.3304546108172,1386.0419312621552,1387.9728818953538,1387.259574406918,1386.209629114105,1389.107253652573,1387.8818404021458,1385.644940721753,1384.8809579828817,1387.6841557116593,1386.172682516451,1388.780823542754,1387.721458416867,1387.6573336146848,1386.8780659664742,1387.4337746919837,1388.9303979468928,1387.4377367096558,1384.741459230985,1387.6351087151827,1387.1470272451459,1387.4238059031907,1388.3716850801252,1386.5677821626666,1386.9207561642213,1388.4652915460604,1387.2344168311834,1385.7293083339734,1385.99477988327,1388.1286888224745,1387.2102478235463,1385.3657650476512,1385.8732733806037,1389.6105263386066,1386.8753709688904,1387.4775514714,1385.3921015642009,1386.0591179479552,1387.4542082778814,1387.8899909974216,1386.3830922468683,1386.5333420513368,1386.6081346305662,1386.86825204562,1388.4742746951003,1386.4584761974372,1386.8901714957042,1387.1416019253568,1389.1182023573056,1388.0968461101834,1387.5607636504358,1387.1132477499561,1387.0932034638638
0,6,1385.6095908032046,1386.8660127531823,1385.699296703041,1386.1907205477469,1386.325864305768,1387.1112436345595,1389.21716721448,1387.196327219206,1387.601670525276,1386.842206611878,1387.1523642659176,1387.9914435771266,1387.6195076715055,1387.4335884892841,1386.476637744096,1386.6075228683424,1388.7367529615642,1386.1572627779892,1387.19511131331,1386.9190092533674,1387.1749873145286,1388.705614929311,1385.7670388508182,1385.5022578716623,1387.5387734931521,1386.483607577152,1387.262707425659,1386.9329597451692,1386.4158803040002,1386.593204089041,1389.0656195657941,1387.0090472306886,1387.487235001084,1386.8793752683234,1386.8305297595086,1388.2037858578742,1388.0482539404513,1386.8567476479213,1386.6879671397235,1386.7476676122742,1387.278125216592,1386.0920658894802,1388.884713474708,1386.882422973411,1385.8971836688504,1386.614068577654,1387.8028956589267,1387.5176031181313,1387.854199930792,1387.6841223622123,1386.5271333361577,1387.870972916283,1387.5450031555729,1385.279866660093,1386.953372520463,1387.4282425339795,1387.6177731785326,1386.3823350133785,1387.05348102516,1385.6785094705353,1385.5928913948308,1388.1456546168026,1387.115201315628,1386.0072771609837,1387.7693892144491,1385.5043470923817,1387.4104473693983,1387.7358819975775,1386.630627216451,1386.1931321660938,1386.8415887048152,1384.7688790457141,1387.3648824919992,1387.0184021794703,1386.814402492163,1388.2614657182626,1387.4299940155643,1386.321379784588,1386.8875746239528,1387.5503032884521,1387.19164093275,1387.1407704640283,1388.7515003040814,1387.7064147552185,1385.5234573423031,1387.2159674548907,1387.6960658477728,1386.5902834022163,1387.7391088478726,1386.34809758325,1386.4951669733255,1386.8848732637914,1385.354478673143,1387.8968465752046,1387.9106643777377,1386.6246550194348,1389.3117799146587,1387.9980961985377,1385.2913757483796,1386.9181045302853,1387.187530154411,1387.327235920624,1388.1373962622636,1388.0307581233396,1387.7203253293121,1386.856171075132,1386.9443987456852,1388.2189219602894,1387.2640924778125,1386.9343753065878,1387.250406830599,1386.321218249345,1386.6687922301635,1389.3079387158411,1387.8362240623917,1388.0158564645249,1387.52817089999,1386.634145527755,1386.3157700706388,1386.902033252159,1387.4869311645189,1386.7357499557195,1384.9428230306369,1386.7262116026268,1387.600576491408,1387.5977254059505,1388.5607344150235,1386.291034706706,1386.1076480918712,1386.3433632239378,1385.2773941847613,1387.4428984484184,1386.6690033440784,1386.2766397758514,1388.1422897173438,1387.9017403237438,1388.696379598158,1386.2342367812696,1386.9289599932838,1387.7551980641074,1388.249442509176,1387.1538807254144,1386.4227668421063,1386.2491366979086
0,7,1386.2437683977046,1387.0623991476066,1386.1059335631637,1386.2776756721603,1387.0561027625254,1387.669388022341,1387.992979789102,1388.096764595278,1387.3428908524713,1386.5398311944489,1388.1687361738273,1387.9873780392222,1387.4522176573564,1386.479867217433,1386.3907759688616,1387.2728186979884,1387.3861917228928,1386.6143045091083,1387.1316705138086,1386.7244426727611,1387.5391089032134,1388.470457882721,1385.3558290534647,1385.8323478655334,1386.786236902406,1387.0535194300057,1387.6209943010965,1387.0801608436032,1386.986675183564,1386.7784249221284,1387.0245992350574,1387.6718876539562,1387.0724204597307,1387.2341107643188,1387.2330420931946,1388.6993677818932,1388.1490799604355,1387.7135091507462,1386.2472133489048,1386.4033243807642,1387.5918815169518,1386.6177317071993,1388.0852370425162,1387.3805666782116,1386.0538632307366,1386.5038162209685,1388.413393880194,1387.6890893727852,1388.3141793194923,1387.7869159135107,1387.429916134321,1386.7667494169898,1388.154123578784,1385.1169809714634,1386.1796125507574,1387.1379427616525,1387.283153644235,1386.3267509858788,1387.1625405037569,1385.4847962329038,1385.7333186426276,1388.4054511668423,1386.628999301439,1386.0447956633077,1386.951713330307,1386.5869910853448,1387.7219020038185,1388.0193724888047,1387.319385751839,1387.1367471474834,1387.1101060353678,1384.5246513717764,1387.7481995469775,1386.8765994838582,1386.792329362747,1388.128728437703,1386.888980997862,1386.4121245791227,1386.747275450909,1387.8530891966318,1388.1371170270468,1387.5225945537804,1387.5883413127146,1387.2636123258471,1386.5456100632196,1386.4798301361354,1387.7994593712135,1387.0270458293737,1386.7935616319617,1386.1185364104779,1387.1873345803062,1386.7846724383116,1386.933899631584,1387.6050793170216,1388.2333403343832,1387.0791856570254,1388.3548815344636,1386.8898851528147,1385.9271353805302,1386.8707522145537,1386.6172550791086,1387.1472887589598,1387.4758419343596,1388.2102290991031,1386.5122278470851,1386.4076068639238,1386.7898342390965,1387.1628394074737,1387.7942217163672,1387.4019191997656,1387.4573957366474,1387.3451336008711,1387.6323925365043,1389.1620715218355,1388.3525237188883,1387.1718000350259,1387.0766016669845,1386.4564452196184,1386.038954174853,1387.304818537721,1386.908038656071,1386.8511986608166,1384.635449068855,1387.1163664291048,1386.923411368641,1386.9641102363896,1388.2103955647704,1386.1638037530004,1386.4941971787778,1386.3978229034676,1386.0931964245892,1387.3518365961938,1386.5979428337637,1386.2745461904517,1386.492911360729,1387.7444761271934,1387.5083085551632,1386.6433281830473,1386.190419525313,1388.29364326522,1387.5732294498182,1386.702613330862,1387.4893758243106,1386.795902118856
0,8,1386.434560718351,1386.7738690176886,1386.225463146363,1387.24733771802,1387.5419080191027,1387.8885816683135,1388.4079115504408,1387.1197798822957,1387.9334162641342,1386.9263728675055,1388.381780258696,1387.0377098385284,1387.3840899346874,1386.4251578089284,1386.8560614146852,1386.8922346315176,1386.6232711020373,1387.3278476012704,1387.116014828879,1386.9932941421062,1387.0424124535555,1388.1463629340699,1386.795206648144,1387.058390867679,1386.1082963814288,1387.176351168004,1387.6922033950657,1387.3774805464795,1387.1717391690358,1386.7917770478432,1386.0797465881062,1387.4335259872857,1387.1509992302279,1386.9501142863774,1386.7693458562671,1388.1318054440367,1387.4548902539843,1387.5223566962723,1387.1933244042227,1386.2128207320782,1387.5197939784748,1386.8257680290506,1388.5121011533968,1387.301671136573,1386.7981042954798,1387.6348696600053,1388.0950106439964,1387.6863107643128,1387.1326758350708,1387.5551614124493,1387.2415417046209,1387.3817452111584,1387.2875182716487,1385.5244037070138,1386.554803153746,1387.2855765539507,1387.5463548517318,1387.0635478791864,1387.6819828599448,1385.3824331862531,1385.7705051766063,1388.48372373082,1386.5119516711284,1386.5743265933777,1386.9003306834552,1387.1261632597111,1387.8026491273583,1388.5273780147545,1386.632495728467,1387.7950277932412,1386.7992956174364,1384.8039788815133,1387.6585872949304,1387.5438915896425,1387.1048197431728,1387.5240652792565,1386.799448899239,1386.200860118093,1386.8569332720135,1387.0926136037676,1387.7365243297095,1386.9980264124354,1386.334097261136,1387.0352624882617,1386.061542172452,1386.8283403328076,1387.8861454225691,1386.9556475036145,1387.0633972162207,1386.0737109641343,1386.6386482820535,1387.125219327596,1386.895471466329,1387.4726493883923,1386.9613608474856,1387.2167859137146,1387.3964721951568,1387.2279721394907,1386.451327919653,1387.3126847999179,1386.7467745636643,1387.9878474706388,1387.5993544470284,1387.5053391021686,1387.1505549304568,1386.7776755896102,1386.1665803807866,1387.5820802584412,1386.8594031527582,1387.200288581268,1387.6570828815145,1387.2660934582561,1387.4289182930977,1387.8850007308765,1387.1735416888648,1387.7112485248329,1387.102056502443,1387.4577903586724,1386.7519660495445,1387.5755897526997,1387.4697958140948,1387.0240468167544,1385.2566010720438,1386.672860022302,1387.4900033916815,1386.6566195780686,1387.1932900029074,1387.5661840025252,1385.8604896967402,1386.8266483059235,1385.770511117472,1387.0947308335637,1387.547442265734,1386.2720955461516,1386.103458320506,1387.5009382248857,1387.7586172269134,1387.0038386813017,1386.418792198214,1387.0707562903328,1388.0396033366285,1386.2713717037275,1386.4130392421187,1386.2798097361317
0,9,1386.5788850873562,1387.5560544050818,1386.325742441243,1386.8265268696,1386.9374598957531,1386.4406019867547,1387.4553533386606,1387.3469118419475,1388.7596711122233,1387.7368183374604,1387.4569999435953,1387.7632909066099,1386.202405361957,1385.4122247985486,1387.070867006884,1387.0597539630508,1386.96552322333,1386.98658217057,1386.7650460284103,1386.7789752922815,1386.8628281264969,1387.0688181517853,1387.5235603310532,1387.1297498360789,1386.9644305731101,1387.1569691102561,1386.9305129153474,1387.0267668088277,1387.3290406655467,1386.6954970399627,1386.9208133830396,1387.6679196101468,1386.4473494634415,1387.3674221460265,1386.5687088374104,1387.6749163884142,1387.3656548717674,1387.6848304180112,1386.7758843241759,1386.8619750726918,1386.0720900192302,1386.3759873742742,1388.0259617268907,1386.714236445992,1386.4150472313836,1388.065785133701,1386.9753738429815,1388.1209959424193,1387.1081669999894,1386.8847292898179,1387.3261092276944,1387.6750254090966,1387.64421418751,1387.180813809466,1387.1707011507312,1386.9429435517427,1386.4198971605517,1386.6660689322146,1388.106409689719,1387.3291970870011,1386.5207715479855,1387.6641481160634,1387.5992975104014,1386.4857021642708,1387.184184541562,1387.1596305203739,1386.9756366017598,1388.0167635975229,1387.0972029426412,1387.273281570282,1386.6103754413623,1386.3591882016124,1388.1723660001153,1387.8368339863912,1386.5670462198611,1387.4158950636308,1386.7032048185745,1387.715627243264,1387.291277336787,1387.4176615880315,1386.9248299049575,1386.9845864044673,1387.5362634777866,1386.789794377826,1386.33358067108,1387.6698392408482,1387.264311204603,1386.4557060152995,1388.421857787161,1386.4142049873271,1386.389300523812,1387.8332469475588,1386.9489465501415,1387.327226454459,1387.2840289740611,1387.033381280856,1387.4402114605202,1386.808513556436,1386.9955525973885,1386.6309175556717,1387.343748592675,1388.390121024747,1386.4826164016708,1387.167128109826,1387.5288744006932,1386.646208574675,1386.5842499879031,1387.413482813324,1387.9958578174437,1387.0288160134812,1386.5210558900303,1386.6245858428372,1388.0977343476507,1387.826341658787,1387.261123911972,1386.6138715407085,1387.123735925011,1387.2388765396931,1387.3180015998153,1386.966543377486,1385.962958781582,1387.3467540420509,1386.0467538805074,1387.3352459569037,1387.2650041097957,1386.4027372066557,1386.9346905436787,1387.1482568027368,1387.0577440689956,1386.511267310129,1387.1609543326601,1387.3079090729914,1385.7392384953127,1386.9866001062837,1387.2435280338705,1386.7547816225785,1387.4786002961725,1387.3582577877407,1386.4369591071259,1387.4735123336718,1387.0777973390577,1385.7956979694204,1386.7734655367128,1386.1410690081061
