Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,2.515457726890565,0.13263643627054514,2.308484351257335,2.487790184079035,2.725344014982328,2.5278251521812187,2.5278449319529077
1,1.810425468286779,0.07810008821119906,1.8043281298034453,1.7349351572897478,1.8344208895452543,1.9453534383242546,1.7330897264711944
2,1.914906884905104,0.1680821886549243,1.692217480113002,2.0323385544736388,2.1660101569475616,1.887749983445901,1.7962182495454162
3,2.010876086412571,0.12464896748093292,1.98181734778965,2.2321290285285933,2.0475351034841864,1.909842925478428,1.883056026781997
4,2.06076359389163,0.17126999179906105,2.1558061137310096,2.2746208475260223,2.1450174824462382,1.9254869513969708,1.80288657435791
5,2.0449891215459473,0.11206914275898519,2.1073917528546984,2.19861319926903,2.0316249653910043,1.858251866674698,2.0290638235403042
6,2.0368143051832535,0.14861859305235586,2.072100383668707,2.265744910619905,2.006090725764914,1.8005277004256282,2.039607805437114
7,2.0601368449361113,0.09260766780717901,2.0623045361924603,2.172809241512011,2.057644284126875,1.8947295321496416,2.1131966306995666
8,2.0445415210335014,0.13583066211285175,2.0379156017853144,2.169677395374713,2.112249985205349,1.7861690849412883,2.1166955378608425
9,2.0410506811110363,0.09793935437899837,1.9918584287042087,2.1307275752662522,2.142988567398342,1.8777380008936282,2.0619408332927502
10,1.982489529439023,0.0815798116242025,1.937498387096103,2.0958053344716916,1.9533560863293715,1.8712562625145703,2.0545315767833796
11,1.9977446115302961,0.08109541973296736,2.027313493271329,2.0886359184884284,1.9549680304291424,1.8616927780920247,2.0561128373705566
12,1.940759539807789,0.0866741521161809,1.986856814166537,2.021360927692034,1.862793601019716,1.81229136730273,2.0204949888579287
13,1.9658426391710442,0.1154240790174395,1.9985995096566997,2.111184501648305,1.862793601019716,1.803856978809573,2.0527786047209275
14,1.9322026044346212,0.08575019193020626,2.0068881383873896,2.0300492604860603,1.862793601019716,1.8048822676285559,1.9563997546513854
15,1.9593979244887305,0.09251904403557,2.0068881383873896,2.0300492604860603,1.862793601019716,1.834638929053889,2.062619693496598
16,1.9955055796254348,0.09432646332688364,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.14326853193901
17,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
18,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
19,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
20,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
21,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
22,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
23,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
24,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
25,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
26,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
27,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
28,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
29,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
30,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
31,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
32,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
33,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
34,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
35,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
36,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
37,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
38,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
39,1.9913798464031245,0.08801310890696601,2.0068881383873896,2.0300492604860603,1.862793601019716,1.9345283662949997,2.1226398658274563
